Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57
UBE2D1,0.0000187,0.00512,0.384,20,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-188-5p,hsa-miR-513a-5p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548n,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-452-5p,hsa-miR-200b-3p,hsa-miR-429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZEB1,0.0000171,0.00512,0.359,18,hsa-miR-141-3p,hsa-miR-429,hsa-miR-205-5p,hsa-miR-200a-3p,hsa-miR-200b-3p,hsa-miR-335-5p,hsa-miR-591,hsa-miR-629-5p,hsa-miR-494-3p,hsa-miR-655-3p,hsa-miR-183-5p,hsa-miR-96-5p,hsa-miR-142-5p,hsa-miR-574-5p,hsa-miR-144-3p,hsa-miR-590-3p,hsa-miR-19a-5p,hsa-miR-19b-2-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCMTD1,0.0000209,0.00557,0.433,25,hsa-miR-335-5p,hsa-miR-190a-3p,hsa-let-7f-2-3p,hsa-miR-643,hsa-miR-32-5p,hsa-miR-363-3p,hsa-miR-548ba,hsa-miR-548ag,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548n,hsa-miR-181b-3p,hsa-miR-9-3p,hsa-miR-34c-3p,hsa-miR-519d-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHSL2,0.0000233,0.00568,0.354,17,hsa-miR-577,hsa-miR-183-5p,hsa-miR-548ax,hsa-miR-548ao-5p,hsa-miR-517-5p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-574-5p,hsa-miR-129-2-3p,hsa-miR-129-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLEKHG7,0.0000233,0.00568,0.354,17,hsa-miR-362-3p,hsa-miR-202-5p,hsa-miR-337-3p,hsa-miR-200a-5p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC5A3,0.0000225,0.00568,0.426,24,hsa-miR-335-5p,hsa-miR-877-3p,hsa-miR-183-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-519d-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548n,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-548m,hsa-miR-548ag,hsa-miR-548ba,hsa-miR-7-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNIP2,0.0000233,0.00568,0.354,17,hsa-miR-340-5p,hsa-miR-142-5p,hsa-miR-648,hsa-miR-595,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARID1B,0.0000268,0.00611,0.301,13,hsa-miR-32-5p,hsa-miR-363-3p,hsa-miR-578,hsa-miR-643,hsa-miR-552-5p,hsa-miR-302c-5p,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-656-3p,hsa-miR-144-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANSL1L,0.0000271,0.00611,0.331,15,hsa-miR-297,hsa-miR-675-3p,hsa-miR-190a-3p,hsa-miR-223-5p,hsa-miR-567,hsa-miR-511-3p,hsa-miR-574-5p,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-335-3p,hsa-miR-607,hsa-miR-590-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEX7,0.0000268,0.00611,0.301,13,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRKG2,0.0000271,0.00611,0.331,15,hsa-miR-335-5p,hsa-miR-452-3p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITGB8,0.0000319,0.00701,0.425,23,hsa-miR-335-5p,hsa-miR-376b-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-656-3p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-548n,hsa-miR-487a-3p,hsa-miR-154-3p,hsa-miR-576-5p,hsa-miR-302f,hsa-miR-32-5p,hsa-miR-363-3p,hsa-miR-652-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHS,0.0000325,0.00701,0.451,26,hsa-miR-548n,hsa-miR-548az-5p,hsa-miR-590-3p,hsa-miR-9-3p,hsa-miR-135b-5p,hsa-miR-135a-5p,hsa-miR-32-3p,hsa-miR-651-3p,hsa-miR-580-5p,hsa-miR-607,hsa-miR-580-3p,hsa-miR-578,hsa-miR-369-3p,hsa-miR-559,hsa-miR-548w,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-494-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMD8,0.0000329,0.00701,0.518,36,hsa-miR-335-5p,hsa-miR-32-5p,hsa-miR-7-1-3p,hsa-miR-7-2-3p,hsa-miR-376b-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519d-3p,hsa-miR-519a-3p,hsa-miR-454-3p,hsa-miR-487a-3p,hsa-miR-154-3p,hsa-miR-548k,hsa-miR-377-5p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-888-5p,hsa-miR-576-5p,hsa-miR-221-5p,hsa-miR-660-3p,,,,,,,,,,,,,,,,,,,,,
HAT1,0.0000343,0.00717,0.363,17,hsa-miR-32-5p,hsa-miR-10b-3p,hsa-miR-488-3p,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-381-3p,hsa-miR-300,hsa-miR-335-3p,hsa-miR-493-5p,hsa-let-7a-2-3p,hsa-let-7c-3p,hsa-miR-513a-5p,hsa-miR-542-3p,hsa-miR-362-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IKZF5,0.0000367,0.00717,0.388,19,hsa-miR-580-3p,hsa-miR-651-3p,hsa-miR-335-3p,hsa-miR-607,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-501-5p,hsa-miR-500b-5p,hsa-miR-362-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSBN1,0.0000354,0.00717,0.408,21,hsa-miR-192-5p,hsa-miR-552-5p,hsa-miR-190a-3p,hsa-miR-410-3p,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-32-5p,hsa-miR-363-3p,hsa-miR-643,hsa-miR-569,hsa-miR-670-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RYBP,0.0000364,0.00717,0.399,20,hsa-miR-9-5p,hsa-miR-580-3p,hsa-miR-411-5p,hsa-miR-557,hsa-miR-507,hsa-miR-450b-5p,hsa-miR-142-5p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEZF1,0.0000361,0.00717,0.376,18,hsa-miR-155-5p,hsa-let-7c-3p,hsa-miR-676-3p,hsa-miR-493-5p,hsa-let-7a-2-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-381-3p,hsa-miR-300,hsa-miR-513b-3p,hsa-miR-203b-5p,hsa-miR-548g-3p,hsa-miR-548e-3p,hsa-miR-548ar-3p,hsa-miR-548x-3p,hsa-miR-548j-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREBZF,0.0000376,0.00722,0.462,27,hsa-miR-340-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-190a-3p,hsa-miR-410-3p,hsa-let-7a-3p,hsa-let-7b-3p,hsa-let-7f-1-3p,hsa-miR-98-3p,hsa-miR-548ax,hsa-miR-548ao-5p,hsa-miR-548e-5p,hsa-miR-513c-3p,hsa-miR-381-3p,hsa-miR-300,hsa-miR-222-5p,hsa-miR-299-5p,hsa-miR-221-5p,hsa-miR-651-3p,hsa-miR-548g-3p,hsa-miR-606,hsa-miR-616-3p,hsa-miR-509-5p,hsa-miR-509-3-5p,hsa-miR-607,hsa-miR-548n,hsa-miR-29b-1-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDUFAF7,0.0000384,0.00726,0.256,10,hsa-miR-190a-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-496,hsa-miR-410-5p,hsa-miR-323b-5p,hsa-miR-381-3p,hsa-miR-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNF395,0.0000419,0.0078,0.341,15,hsa-miR-122-5p,hsa-miR-769-3p,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548b-5p,hsa-miR-548bb-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548n,hsa-miR-548w,hsa-miR-559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNB1,0.0000478,0.00875,0.468,27,hsa-miR-132-3p,hsa-miR-183-5p,hsa-miR-548b-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548n,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-590-3p,hsa-let-7a-2-3p,hsa-miR-548az-5p,hsa-miR-508-5p,hsa-miR-377-5p,hsa-miR-558,hsa-miR-541-3p,hsa-miR-410-3p,hsa-miR-32-5p,hsa-miR-363-3p,hsa-miR-766-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAM135A,0.0000498,0.00899,0.372,17,hsa-miR-335-5p,hsa-miR-155-5p,hsa-miR-32-5p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-548n,hsa-miR-196b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADH1B,0.0000554,0.0094,0.301,12,hsa-miR-190a-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-381-3p,hsa-miR-300,hsa-miR-297,hsa-miR-568,hsa-miR-223-5p,hsa-miR-567,hsa-miR-511-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RASGEF1A,0.0000554,0.0094,0.301,12,hsa-miR-335-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-302d-3p,hsa-miR-302e,hsa-miR-373-3p,hsa-miR-520c-3p,hsa-miR-520d-3p,hsa-miR-302b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRED1,0.0000539,0.0094,0.518,34,hsa-miR-335-5p,hsa-miR-132-3p,hsa-miR-7-1-3p,hsa-miR-7-2-3p,hsa-miR-424-5p,hsa-miR-545-3p,hsa-miR-374b-3p,hsa-miR-379-3p,hsa-miR-411-3p,hsa-miR-190a-5p,hsa-miR-548az-5p,hsa-miR-520f-3p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-373-3p,hsa-miR-520c-3p,hsa-miR-519d-3p,hsa-miR-520d-3p,hsa-miR-302e,hsa-miR-194-5p,hsa-miR-548ax,hsa-miR-548ao-5p,hsa-miR-802,hsa-miR-451b,hsa-miR-548e-5p,hsa-miR-380-3p,hsa-miR-155-5p,hsa-miR-646,hsa-miR-503-5p,hsa-miR-377-5p,hsa-miR-558,hsa-miR-190a-3p,hsa-miR-589-3p,hsa-miR-31-5p,,,,,,,,,,,,,,,,,,,,,,,
UHMK1,0.0000539,0.0094,0.518,34,hsa-miR-335-5p,hsa-miR-9-5p,hsa-miR-503-5p,hsa-miR-200a-5p,hsa-miR-548an,hsa-miR-190a-3p,hsa-miR-410-3p,hsa-miR-944,hsa-miR-32-3p,hsa-miR-382-3p,hsa-miR-494-3p,hsa-miR-496,hsa-miR-105-3p,hsa-miR-136-3p,hsa-miR-194-5p,hsa-miR-142-5p,hsa-miR-340-5p,hsa-miR-513a-5p,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548b-5p,hsa-miR-548bb-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548k,hsa-miR-548w,hsa-miR-559,hsa-miR-888-5p,hsa-miR-651-5p,hsa-miR-938,,,,,,,,,,,,,,,,,,,,,,,
TPRA1,0.0000634,0.0106,0.351,15,hsa-miR-142-5p,hsa-miR-506-5p,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548b-5p,hsa-miR-548bb-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548k,hsa-miR-548w,hsa-miR-559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRYD4,0.000067,0.0111,0.484,28,hsa-miR-32-5p,hsa-miR-141-3p,hsa-miR-200a-3p,hsa-miR-219a-2-3p,hsa-miR-363-3p,hsa-miR-433-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-508-5p,hsa-miR-766-3p,hsa-miR-542-3p,hsa-miR-661,hsa-miR-873-3p,hsa-miR-616-5p,hsa-miR-759,hsa-miR-510-5p,hsa-miR-548ag,hsa-miR-548ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGMS1,0.0000704,0.0113,0.404,19,hsa-miR-32-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-519d-3p,hsa-miR-548az-5p,hsa-let-7a-3p,hsa-let-7b-3p,hsa-let-7f-1-3p,hsa-miR-186-3p,hsa-miR-300,hsa-miR-379-3p,hsa-miR-380-3p,hsa-miR-381-3p,hsa-miR-411-3p,hsa-miR-605-5p,hsa-miR-656-5p,hsa-miR-876-3p,hsa-miR-98-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC16A7,0.0000696,0.0113,0.226,8,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-496,hsa-miR-20a-3p,hsa-miR-759,hsa-miR-506-5p,hsa-miR-892c-5p,hsa-miR-329-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC16A14,0.0000779,0.0123,0.251,9,hsa-miR-340-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-381-3p,hsa-miR-300,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRPS5,0.0000851,0.0131,0.344,14,hsa-miR-203b-3p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC9A4,0.0000851,0.0131,0.344,14,hsa-miR-369-3p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAP1,0.000091,0.0138,0.421,20,hsa-miR-630,hsa-miR-200a-3p,hsa-miR-141-3p,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-877-5p,hsa-miR-548k,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-506-3p,hsa-miR-10a-3p,hsa-miR-424-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNAJB14,0.0000991,0.0149,0.401,18,hsa-miR-335-5p,hsa-miR-190a-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-548g-3p,hsa-miR-302f,hsa-miR-500a-5p,hsa-miR-501-5p,hsa-miR-548ar-3p,hsa-miR-548e-3p,hsa-miR-552-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACVR2B,0.000118,0.0173,0.49,27,hsa-miR-192-5p,hsa-miR-215-5p,hsa-miR-194-5p,hsa-miR-141-3p,hsa-miR-335-5p,hsa-miR-29b-1-5p,hsa-miR-196b-5p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-577,hsa-miR-548e-3p,hsa-miR-548ar-3p,hsa-miR-381-3p,hsa-miR-300,hsa-miR-576-5p,hsa-miR-545-5p,hsa-miR-329-5p,hsa-miR-384,hsa-miR-944,hsa-miR-369-3p,hsa-miR-574-5p,hsa-miR-190a-3p,hsa-miR-297,hsa-miR-511-3p,hsa-miR-567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTG1,0.000118,0.0173,0.49,27,hsa-miR-373-3p,hsa-miR-513c-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7b-3p,hsa-let-7a-3p,hsa-miR-381-3p,hsa-miR-300,hsa-let-7f-2-3p,hsa-miR-643,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-548az-5p,hsa-miR-548n,hsa-miR-302e,hsa-miR-302b-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-302d-3p,hsa-miR-581,hsa-miR-510-3p,hsa-miR-633,hsa-miR-509-5p,hsa-miR-509-3-5p,hsa-miR-454-3p,hsa-miR-19a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIPA,0.000121,0.0175,0.458,23,hsa-miR-335-5p,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-454-3p,hsa-miR-452-5p,hsa-miR-944,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-382-3p,hsa-miR-578,hsa-miR-612,hsa-miR-676-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEM1C,0.000129,0.0184,0.527,32,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-95-5p,hsa-miR-548k,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-373-3p,hsa-miR-520c-3p,hsa-miR-520d-3p,hsa-miR-302e,hsa-miR-142-5p,hsa-miR-411-5p,hsa-miR-522-3p,hsa-miR-548g-3p,hsa-miR-548e-3p,hsa-miR-548ar-3p,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-519d-3p,hsa-miR-584-5p,hsa-miR-577,hsa-miR-153-3p,,,,,,,,,,,,,,,,,,,,,,,,,
ZFHX2,0.000132,0.0186,0.215,7,hsa-miR-574-5p,hsa-miR-297,hsa-miR-675-3p,hsa-miR-223-5p,hsa-miR-567,hsa-miR-511-3p,hsa-miR-586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPAD1,0.000137,0.0189,0.286,10,hsa-miR-155-5p,hsa-miR-507,hsa-miR-557,hsa-miR-450b-5p,hsa-miR-676-5p,hsa-miR-205-5p,hsa-miR-513b-5p,hsa-miR-19b-2-5p,hsa-miR-19a-5p,hsa-miR-362-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBP4,0.000137,0.0189,0.371,15,hsa-miR-559,hsa-miR-548b-5p,hsa-miR-548c-5p,hsa-miR-548d-5p,hsa-miR-548n,hsa-miR-548h-5p,hsa-miR-548i,hsa-miR-548w,hsa-miR-548ad-5p,hsa-miR-548am-5p,hsa-miR-548aq-5p,hsa-miR-548ay-5p,hsa-miR-548bb-5p,hsa-miR-889-3p,hsa-miR-586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSM2B,0.00014,0.019,0.386,16,hsa-miR-369-3p,hsa-miR-548k,hsa-miR-559,hsa-miR-548w,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548c-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-574-5p,hsa-let-7a-2-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
