Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57,microRNA 58,microRNA 59,microRNA 60,microRNA 61,microRNA 62,microRNA 63,microRNA 64,microRNA 65,microRNA 66,microRNA 67,microRNA 68,microRNA 69,microRNA 70,microRNA 71,microRNA 72,microRNA 73,microRNA 74,microRNA 75,microRNA 76,microRNA 77,microRNA 78,microRNA 79,microRNA 80,microRNA 81,microRNA 82,microRNA 83,microRNA 84,microRNA 85,microRNA 86,microRNA 87,microRNA 88,microRNA 89,microRNA 90,microRNA 91,microRNA 92,microRNA 93,microRNA 94,microRNA 95,microRNA 96,microRNA 97,microRNA 98,microRNA 99,microRNA 100,microRNA 101,microRNA 102,microRNA 103,microRNA 104,microRNA 105,microRNA 106,microRNA 107,microRNA 108,microRNA 109,microRNA 110,microRNA 111,microRNA 112,microRNA 113,microRNA 114,microRNA 115,microRNA 116,microRNA 117
IL1B,0.000266,0.00453,0.254,6,hsa-miR-204-5p,hsa-miR-21-5p,hsa-miR-887-3p,hsa-miR-24-3p,hsa-miR-106a-5p,hsa-miR-877-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCTD14,0.000266,0.00453,0.254,6,hsa-miR-148b-3p,hsa-miR-128-3p,hsa-miR-101-3p,hsa-miR-98-5p,hsa-miR-27a-3p,hsa-miR-26b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIF27,0.000262,0.00453,0.381,12,hsa-miR-98-5p,hsa-let-7i-5p,hsa-let-7g-5p,hsa-let-7f-5p,hsa-let-7e-5p,hsa-let-7d-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-let-7a-5p,hsa-miR-196b-5p,hsa-miR-196a-5p,hsa-miR-583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTA4H,0.000266,0.00453,0.254,6,hsa-miR-124-3p,hsa-miR-26b-5p,hsa-miR-125b-5p,hsa-let-7c-5p,hsa-let-7b-5p,hsa-let-7a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCM3AP-AS1,0.000266,0.00453,0.254,6,hsa-miR-19b-3p,hsa-miR-19a-3p,hsa-miR-195-5p,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-15b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORF4L1,0.000261,0.00453,0.509,23,hsa-miR-148b-3p,hsa-miR-29c-3p,hsa-miR-9-5p,hsa-miR-16-5p,hsa-miR-222-3p,hsa-miR-29a-3p,hsa-miR-29b-3p,hsa-miR-340-5p,hsa-miR-496,hsa-miR-548az-5p,hsa-miR-548n,hsa-miR-106a-5p,hsa-miR-106b-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-93-5p,hsa-miR-20b-5p,hsa-miR-634,hsa-miR-96-5p,hsa-miR-183-5p,hsa-miR-548e-5p,hsa-miR-708-5p,hsa-miR-28-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRPL40,0.000266,0.00453,0.254,6,hsa-miR-24-3p,hsa-miR-17-5p,hsa-miR-195-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTCH2,0.000266,0.00453,0.254,6,hsa-miR-26b-5p,hsa-miR-423-5p,hsa-miR-484,hsa-miR-30c-5p,hsa-let-7e-5p,hsa-miR-135b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTMR9,0.000259,0.00453,0.545,28,hsa-miR-130b-3p,hsa-miR-34a-5p,hsa-miR-148a-3p,hsa-miR-21-5p,hsa-miR-433-3p,hsa-miR-150-5p,hsa-miR-212-5p,hsa-miR-186-3p,hsa-miR-512-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-372-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-302a-3p,hsa-miR-93-5p,hsa-miR-20b-5p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-106a-5p,hsa-miR-215-5p,hsa-miR-374a-3p,hsa-miR-552-5p,hsa-miR-7-1-3p,hsa-miR-7-2-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDFIP1,0.000266,0.00453,0.254,6,hsa-miR-221-3p,hsa-miR-30a-5p,hsa-miR-378a-3p,hsa-miR-15b-5p,hsa-miR-196a-5p,hsa-miR-19b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCD6IP,0.000266,0.00453,0.254,6,hsa-miR-16-5p,hsa-miR-15a-5p,hsa-miR-760,hsa-miR-23b-3p,hsa-miR-92a-3p,hsa-miR-23a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLD1,0.000266,0.00453,0.254,6,hsa-miR-24-3p,hsa-miR-193b-3p,hsa-miR-1-3p,hsa-miR-34a-5p,hsa-miR-324-5p,hsa-let-7e-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PON2,0.000266,0.00453,0.254,6,hsa-miR-106b-5p,hsa-miR-186-5p,hsa-miR-96-5p,hsa-miR-16-5p,hsa-miR-92a-3p,hsa-miR-18a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSKH1,0.000266,0.00453,0.254,6,hsa-miR-124-3p,hsa-miR-149-5p,hsa-miR-15a-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-195-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSME1,0.000266,0.00453,0.254,6,hsa-miR-1-3p,hsa-miR-26b-5p,hsa-miR-421,hsa-miR-324-5p,hsa-miR-331-3p,hsa-miR-186-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QARS,0.000266,0.00453,0.254,6,hsa-miR-26b-5p,hsa-let-7b-5p,hsa-miR-744-5p,hsa-miR-9-5p,hsa-miR-15b-5p,hsa-miR-17-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAB5A,0.000266,0.00453,0.254,6,hsa-miR-101-3p,hsa-miR-130a-3p,hsa-miR-130b-3p,hsa-miR-33a-5p,hsa-miR-18a-5p,hsa-miR-451a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNF167,0.000266,0.00453,0.254,6,hsa-miR-877-5p,hsa-miR-484,hsa-miR-186-5p,hsa-miR-34a-5p,hsa-miR-19a-3p,hsa-miR-19b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNF220,0.000266,0.00453,0.254,6,hsa-miR-93-5p,hsa-miR-30a-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30b-5p,hsa-miR-30e-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLAIN1,0.000266,0.00453,0.254,6,hsa-miR-302a-3p,hsa-miR-130b-3p,hsa-miR-96-5p,hsa-miR-19b-3p,hsa-miR-92a-3p,hsa-miR-130a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMAP2,0.000266,0.00453,0.254,6,hsa-miR-708-5p,hsa-miR-652-3p,hsa-miR-92b-3p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-let-7e-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRIP1,0.000266,0.00453,0.254,6,hsa-miR-193b-3p,hsa-miR-30a-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30b-5p,hsa-miR-30e-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYNE1,0.000266,0.00453,0.254,6,hsa-miR-1-3p,hsa-miR-148b-3p,hsa-miR-9-5p,hsa-miR-124-3p,hsa-miR-26b-5p,hsa-let-7b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFB1M,0.000266,0.00453,0.254,6,hsa-miR-19b-3p,hsa-miR-195-5p,hsa-miR-19a-3p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXN2,0.000266,0.00453,0.254,6,hsa-miR-16-5p,hsa-miR-877-5p,hsa-miR-296-3p,hsa-miR-425-5p,hsa-miR-186-5p,hsa-miR-27a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHC5,0.000266,0.00453,0.254,6,hsa-miR-34a-5p,hsa-miR-324-5p,hsa-miR-181d-5p,hsa-miR-181b-5p,hsa-miR-181c-5p,hsa-miR-181a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNF254,0.000262,0.00453,0.381,12,hsa-miR-365b-3p,hsa-miR-365a-3p,hsa-miR-216a-5p,hsa-miR-183-3p,hsa-miR-519e-5p,hsa-miR-515-5p,hsa-miR-766-3p,hsa-miR-770-5p,hsa-miR-200b-5p,hsa-miR-200a-5p,hsa-miR-26b-5p,hsa-miR-26a-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNF264,0.000261,0.00453,0.72,83,hsa-miR-1-3p,hsa-miR-130b-3p,hsa-miR-122-5p,hsa-miR-7-5p,hsa-miR-93-5p,hsa-miR-24-3p,hsa-miR-484,hsa-let-7a-5p,hsa-miR-25-3p,hsa-miR-32-5p,hsa-miR-92a-3p,hsa-miR-367-3p,hsa-miR-92b-3p,hsa-miR-495-5p,hsa-miR-30a-5p,hsa-miR-30c-5p,hsa-miR-30d-5p,hsa-miR-30b-5p,hsa-miR-30e-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-106b-5p,hsa-miR-302a-3p,hsa-miR-302b-3p,hsa-miR-302d-3p,hsa-miR-372-3p,hsa-miR-373-3p,hsa-miR-20b-5p,hsa-miR-520c-3p,hsa-miR-520d-3p,hsa-miR-628-5p,hsa-miR-302e,hsa-miR-302f,hsa-miR-548ao-5p,hsa-miR-548ax,hsa-miR-146a-3p,hsa-miR-340-5p,hsa-miR-573,hsa-miR-889-3p,hsa-miR-660-3p,hsa-miR-513a-3p,hsa-miR-590-3p,hsa-miR-513c-3p,hsa-miR-143-3p,hsa-miR-190a-3p,hsa-let-7b-5p,hsa-let-7c-5p,hsa-let-7d-5p,hsa-let-7e-5p,hsa-let-7f-5p,hsa-miR-98-5p,hsa-let-7g-5p,hsa-let-7i-5p,hsa-miR-650,hsa-miR-100-3p,hsa-miR-127-5p,hsa-miR-574-5p,hsa-miR-511-3p,hsa-miR-377-5p,hsa-miR-34b-5p,hsa-let-7f-2-3p,hsa-miR-98-3p,hsa-let-7f-1-3p,hsa-let-7a-3p,hsa-miR-190a-5p,hsa-miR-202-3p,hsa-miR-300,hsa-miR-301a-5p,hsa-miR-143-5p,hsa-miR-648,hsa-miR-30b-3p,hsa-miR-30c-1-3p,hsa-miR-383-3p,hsa-miR-548s,hsa-miR-513b-5p,hsa-miR-25-5p,hsa-miR-769-5p,hsa-miR-125b-2-3p,hsa-miR-624-3p,hsa-miR-335-3p,hsa-miR-664b-3p,hsa-miR-579-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNF721,0.000266,0.00453,0.254,6,hsa-miR-331-3p,hsa-miR-19b-3p,hsa-miR-32-5p,hsa-miR-92a-3p,hsa-miR-92b-3p,hsa-miR-19a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWC1,0.00027,0.00459,0.553,29,hsa-miR-22-3p,hsa-miR-891a-3p,hsa-miR-143-5p,hsa-miR-122-5p,hsa-miR-504-3p,hsa-miR-216a-5p,hsa-miR-18a-3p,hsa-miR-324-3p,hsa-miR-150-5p,hsa-miR-186-3p,hsa-miR-512-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-372-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-302a-3p,hsa-miR-93-5p,hsa-miR-20b-5p,hsa-miR-20a-5p,hsa-miR-17-5p,hsa-miR-106b-5p,hsa-miR-106a-5p,hsa-miR-588,hsa-miR-548s,hsa-miR-212-5p,hsa-miR-562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERH,0.000274,0.00463,0.483,20,hsa-miR-92a-3p,hsa-miR-340-5p,hsa-miR-548l,hsa-miR-548k,hsa-miR-548av-5p,hsa-miR-559,hsa-miR-548y,hsa-miR-548w,hsa-miR-548o-5p,hsa-miR-548j-5p,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFITM1,0.000274,0.00463,0.483,20,hsa-miR-130a-3p,hsa-miR-146a-5p,hsa-miR-147a,hsa-miR-644a,hsa-miR-503-3p,hsa-miR-552-3p,hsa-miR-548g-3p,hsa-miR-122-5p,hsa-miR-128-3p,hsa-miR-130b-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-216a-3p,hsa-miR-25-3p,hsa-miR-301b-3p,hsa-miR-32-5p,hsa-miR-367-3p,hsa-miR-504-3p,hsa-miR-92a-3p,hsa-miR-92b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPIG,0.000274,0.00463,0.483,20,hsa-let-7e-5p,hsa-miR-525-3p,hsa-miR-510-3p,hsa-miR-580-5p,hsa-miR-424-5p,hsa-miR-195-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-573,hsa-miR-340-5p,hsa-miR-301b-3p,hsa-miR-130b-3p,hsa-miR-130a-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-186-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM1,0.000274,0.00463,0.483,20,hsa-miR-26b-5p,hsa-miR-30c-5p,hsa-miR-548l,hsa-miR-548k,hsa-miR-548av-5p,hsa-miR-559,hsa-miR-548y,hsa-miR-548w,hsa-miR-548o-5p,hsa-miR-548j-5p,hsa-miR-548i,hsa-miR-548h-5p,hsa-miR-548d-5p,hsa-miR-548bb-5p,hsa-miR-548b-5p,hsa-miR-548ay-5p,hsa-miR-548aq-5p,hsa-miR-548am-5p,hsa-miR-548ad-5p,hsa-miR-548ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHD9,0.000288,0.00486,0.519,24,hsa-miR-210-3p,hsa-miR-7-5p,hsa-miR-26b-5p,hsa-let-7e-5p,hsa-miR-17-5p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-20a-5p,hsa-miR-93-5p,hsa-miR-106b-5p,hsa-miR-20b-5p,hsa-miR-22-3p,hsa-miR-181a-5p,hsa-miR-181b-5p,hsa-miR-181c-5p,hsa-miR-376a-5p,hsa-miR-181d-5p,hsa-miR-376a-2-5p,hsa-miR-944,hsa-miR-664a-3p,hsa-miR-433-3p,hsa-miR-627-3p,hsa-miR-342-3p,hsa-miR-628-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPBP1L1,0.000288,0.00486,0.519,24,hsa-miR-9-5p,hsa-miR-32-5p,hsa-miR-26b-5p,hsa-miR-30e-5p,hsa-miR-409-5p,hsa-miR-487b-5p,hsa-miR-487a-5p,hsa-miR-664b-5p,hsa-miR-297,hsa-miR-223-5p,hsa-miR-567,hsa-miR-609,hsa-miR-574-5p,hsa-miR-511-3p,hsa-miR-544a,hsa-miR-20a-3p,hsa-miR-92b-3p,hsa-miR-92a-3p,hsa-miR-367-3p,hsa-miR-25-3p,hsa-miR-329-5p,hsa-miR-32-3p,hsa-miR-548l,hsa-miR-548n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUBB,0.000289,0.00487,0.61,40,hsa-miR-16-5p,hsa-miR-320c,hsa-miR-320b,hsa-miR-935,hsa-miR-877-5p,hsa-miR-708-5p,hsa-miR-423-5p,hsa-miR-92a-1-5p,hsa-miR-18a-3p,hsa-miR-505-3p,hsa-miR-193b-3p,hsa-miR-484,hsa-miR-196b-5p,hsa-miR-324-3p,hsa-miR-324-5p,hsa-miR-330-3p,hsa-miR-186-5p,hsa-miR-185-5p,hsa-miR-196a-5p,hsa-miR-107,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-20a-5p,hsa-let-7b-5p,hsa-miR-181d-5p,hsa-miR-181b-5p,hsa-miR-181c-5p,hsa-miR-181a-5p,hsa-miR-195-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-208a-3p,hsa-miR-208b-3p,hsa-miR-369-3p,hsa-miR-429,hsa-miR-432-5p,hsa-miR-488-3p,hsa-miR-620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGF2BP1,0.000293,0.00493,0.606,39,hsa-let-7b-5p,hsa-let-7g-5p,hsa-let-7a-5p,hsa-miR-378a-3p,hsa-miR-196a-5p,hsa-let-7d-5p,hsa-miR-877-3p,hsa-miR-484,hsa-miR-99b-5p,hsa-let-7f-5p,hsa-let-7c-5p,hsa-let-7e-5p,hsa-miR-98-5p,hsa-let-7i-5p,hsa-miR-133a-5p,hsa-miR-138-5p,hsa-miR-214-5p,hsa-miR-891a-3p,hsa-miR-19a-5p,hsa-miR-19b-1-5p,hsa-miR-19b-2-5p,hsa-miR-577,hsa-let-7c-3p,hsa-miR-630,hsa-miR-190a-3p,hsa-miR-200b-5p,hsa-miR-200a-5p,hsa-miR-548g-3p,hsa-miR-548x-3p,hsa-miR-548j-3p,hsa-miR-548e-3p,hsa-miR-548ar-3p,hsa-miR-642b-5p,hsa-miR-625-5p,hsa-miR-193a-5p,hsa-miR-491-5p,hsa-miR-9-5p,hsa-miR-196b-5p,hsa-miR-140-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEK1,0.000311,0.00523,0.529,25,hsa-miR-503-5p,hsa-miR-424-5p,hsa-miR-193b-3p,hsa-miR-24-3p,hsa-miR-99b-5p,hsa-miR-15b-5p,hsa-miR-92a-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-15a-5p,hsa-miR-16-5p,hsa-miR-195-5p,hsa-miR-383-3p,hsa-miR-513b-3p,hsa-miR-410-3p,hsa-miR-26a-5p,hsa-miR-190a-3p,hsa-miR-620,hsa-miR-139-3p,hsa-miR-766-3p,hsa-miR-508-5p,hsa-miR-323a-3p,hsa-miR-197-3p,hsa-miR-646,hsa-miR-505-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNIP1,0.000311,0.00523,0.529,25,hsa-miR-186-5p,hsa-miR-18a-3p,hsa-miR-30d-5p,hsa-miR-92a-3p,hsa-let-7a-5p,hsa-miR-379-3p,hsa-miR-493-5p,hsa-miR-223-5p,hsa-miR-511-3p,hsa-miR-489-3p,hsa-miR-92b-3p,hsa-miR-367-3p,hsa-miR-32-5p,hsa-miR-25-3p,hsa-miR-627-3p,hsa-miR-23b-3p,hsa-miR-23a-3p,hsa-miR-23c,hsa-miR-30b-3p,hsa-miR-455-3p,hsa-miR-203b-3p,hsa-miR-25-5p,hsa-miR-658,hsa-miR-377-5p,hsa-miR-558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PXK,0.000316,0.0053,0.497,21,hsa-miR-744-5p,hsa-miR-488-3p,hsa-miR-501-5p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-93-5p,hsa-miR-106a-5p,hsa-miR-106b-5p,hsa-miR-20b-5p,hsa-miR-17-5p,hsa-miR-20a-5p,hsa-miR-301b-3p,hsa-miR-130a-3p,hsa-miR-130b-3p,hsa-miR-101-5p,hsa-miR-577,hsa-miR-513b-3p,hsa-miR-548m,hsa-miR-489-3p,hsa-miR-578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADORA3,0.000321,0.00533,0.37,11,hsa-miR-211-5p,hsa-miR-204-5p,hsa-miR-324-5p,hsa-miR-107,hsa-miR-103a-3p,hsa-miR-424-5p,hsa-miR-195-5p,hsa-miR-16-5p,hsa-miR-15b-5p,hsa-miR-15a-5p,hsa-miR-548e-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITCH,0.000322,0.00533,0.418,14,hsa-miR-106b-5p,hsa-miR-324-3p,hsa-miR-127-5p,hsa-miR-485-5p,hsa-miR-20a-5p,hsa-miR-27b-3p,hsa-miR-27a-3p,hsa-miR-216a-3p,hsa-miR-128-3p,hsa-miR-543,hsa-miR-20b-5p,hsa-miR-93-5p,hsa-miR-17-5p,hsa-miR-214-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
